date,open,hiht,low,close,adjusted close,volume,dividend amount,split coefficient,high
2023-01-05,142.44,,140.01,141.11,141.11,2866648,0.0,1.0,142.498
2023-01-04,142.07,,141.3675,142.6,142.6,3869236,0.0,1.0,143.615
2023-01-03,141.1,,140.48,141.55,141.55,3338829,0.0,1.0,141.9
2022-12-30,140.54,,139.45,140.89,140.89,2858110,0.0,1.0,140.9
2022-12-29,140.58,,140.45,141.06,141.06,2337207,0.0,1.0,142.26
2022-12-28,142.4,,139.95,140.02,140.02,2539577,0.0,1.0,142.81
2022-12-27,141.73,,141.23,142.42,142.42,2742525,0.0,1.0,142.72
2022-12-23,140.59,,139.6,141.65,141.65,2092715,0.0,1.0,141.8565
2022-12-22,140.95,,138.62,140.88,140.88,3337851,0.0,1.0,141.44
2022-12-21,141.84,,140.975,142.14,142.14,3793700,0.0,1.0,143.09
2022-12-20,138.84,,138.34,141.28,141.28,5156450,0.0,1.0,141.425
2022-12-19,140.16,,137.195,138.87,138.87,5282860,0.0,1.0,140.44
2022-12-16,141.25,,138.97,140.16,140.16,9834427,0.0,1.0,141.915
2022-12-15,148.52,,141.58,142.36,142.36,6687744,0.0,1.0,148.98
2022-12-14,150.47,,148.45,149.86,149.86,4205878,0.0,1.0,151.91
2022-12-13,150.37,,149.95,150.57,150.57,8811553,0.0,1.0,153.21
2022-12-12,147.82,,146.9426,149.21,149.21,4032780,0.0,1.0,149.21
2022-12-09,147.4,,146.97,147.05,147.05,3047581,0.0,1.0,148.34
2022-12-08,147.9,,147.365,147.78,147.78,2665687,0.0,1.0,149.153
2022-12-07,147.33,,146.29,147.27,147.27,3971285,0.0,1.0,148.105
2022-12-06,147.3,,146.7,147.5,147.5,2847610,0.0,1.0,147.8
2022-12-05,147.94,,146.8,147.41,147.41,2784767,0.0,1.0,148.93
2022-12-02,148.13,,147.73,148.67,148.67,2899995,0.0,1.0,149.16
2022-12-01,149.98,,147.34,149.16,149.16,4495924,0.0,1.0,150.01
2022-11-30,146.19,,145.67,148.9,148.9,6377582,0.0,1.0,149.64
2022-11-29,145.91,,145.7,146.49,146.49,2754744,0.0,1.0,147.1668
2022-11-28,147.98,,145.935,146.18,146.18,3538696,0.0,1.0,148.24
2022-11-25,148.27,,148.101,148.37,148.37,2075156,0.0,1.0,149.49
2022-11-23,149.1,,148.3,148.75,148.75,3658459,0.0,1.0,150.46
2022-11-22,147.6,,147.02,149.1,149.1,7062060,0.0,1.0,149.35
2022-11-21,147.55,,146.45,146.68,146.68,3476208,0.0,1.0,147.928
2022-11-18,146.56,,145.94,147.64,147.64,4661735,0.0,1.0,148.31
2022-11-17,143.41,,143.25,146.09,146.09,3955162,0.0,1.0,146.18
2022-11-16,144.13,,144.0081,144.52,144.52,3445302,0.0,1.0,144.95
2022-11-15,144.08,,142.0,144.34,144.34,4727107,0.0,1.0,146.1609
2022-11-14,142.63,,142.18,144.2,144.2,5245624,0.0,1.0,146.08
2022-11-11,141.5,,140.96,143.17,143.17,5871264,0.0,1.0,144.13
